timestamp,channelTitle,id,title,viewCount,likeCount,commentCount,duration
2026-03-28 19:46:19,HugoX ChugoX,vk28I5DOWcI,ELEFANTES BLANCOS en Lima. La historia del Edificio de Tacna con Emancipación,137175,4377,341,PT13M3S
2026-03-28 19:46:19,HugoX ChugoX,anup7t5OoDY,EL SALVOCONDUCTO ¿QUÉ ES Y CÓMO FUNCIONA?,61890,2861,335,PT10M9S
2026-03-28 19:46:19,HugoX ChugoX,iYnBqOyJhbA,Restos del Hijo de Tupac Amaru retornaron al Perú pero son “Restos Simbólicos”,43912,2417,391,PT10M22S
2026-03-28 19:46:19,HugoX ChugoX,SZqEDeblBm4,¿EL FIN DE LAS LLAMADAS SPAM? Nueva Ley las prohíbe pero no es suficiente,159167,6952,640,PT18M2S
2026-03-28 19:46:19,HugoX ChugoX,ku_lbG6UeEk,¿Y EL TLC DÓNDE ESTÁ?,105680,6131,584,PT12M30S
2026-03-28 19:46:19,HugoX ChugoX,uVU9LMXT1Ys,¿Qué es el SUERO FISIOLÓGICO y quién es el responsable de las mu3rt3s?,47236,3427,313,PT10M41S
2026-03-28 19:46:19,HugoX ChugoX,hXPNekLN1s0,Cómo entender la crisis en Bolivia ¿Se viene migración al Perú?,363831,11031,4968,PT16M29S
2026-03-28 19:46:19,HugoX ChugoX,t096yZBFMZA,NUEVO ESTADO DE EMERGENCIA ¿Sirve de algo? ¿En qué consiste?,55382,3669,581,PT14M9S
2026-03-28 19:46:19,HugoX ChugoX,5QXLeKTcJYc,💧EL PROYECTO OLMOS EXPLICADO 🍋 DOCUMENTAL,260516,7687,696,PT23M16S
2026-03-28 19:46:19,HugoX ChugoX,ssNotMOadts,✈️TODO SOBRE EL NUEVO AEROPUERTO JORGE CHAVEZ DE LIMA 🇵🇪,124523,5379,662,PT12M33S
2026-03-28 19:46:19,HugoX ChugoX,KY6eRNLcXQU,👊🏽CLAUSURA MASIVA de Centros Comerciales en PERÚ🇵🇪 | Caída de techo sería HOMICIDIO CALIFICADO,114769,6547,683,PT15M10S
2026-03-28 19:46:19,HugoX ChugoX,7NdswlSuoqw,A propósito del caso Curwen Vs Zeein...,118848,9164,1761,PT12M1S
2026-03-28 19:46:19,HugoX ChugoX,ycBPlY2Ii7Y,PERÚ ES CLAVE ¿Por qué usan el Sol Peruano como moneda de cambio en otros países?,278325,10381,2312,PT11M35S
